score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
3,36,7,2,0,11,0,7,3,2,0,11,1
3,30,8,3,7,3,2,8,3,3,7,3,0
4,34,8,3,4,6,0,8,4,1,4,6,0
2,33,8,1,2,3,1,8,2,0,2,3,0
1,31,6,1,3,4,1,6,1,1,3,4,0
2,27,5,2,1,2,1,5,2,2,1,2,0
2,34,9,2,4,8,0,9,2,2,4,8,1
1,31,7,1,2,8,1,7,1,1,2,8,0
4,38,10,3,5,4,0,10,4,4,5,4,1
6,33,8,6,2,6,2,8,6,0,2,6,1
3,33,7,3,6,6,0,7,3,3,6,6,1
0,32,7,0,0,4,0,7,0,0,0,4,0
0,30,3,0,1,5,0,3,0,0,1,5,0
3,27,5,3,2,2,1,5,3,3,2,2,1
0,0,0,0,0,0,0,14,10,7,1,4,2
0,32,7,0,1,0,1,0,0,0,0,0,0
1,30,5,1,4,9,0,5,1,0,4,9,0
1,31,8,1,4,4,0,8,1,1,4,4,0
8,33,12,8,11,8,1,12,8,8,11,8,1
7,40,14,7,0,4,1,14,7,7,0,4,3
4,38,9,4,5,3,0,9,4,4,5,3,1
5,39,12,5,2,2,0,12,5,4,2,2,2
2,32,7,2,4,7,0,7,2,2,4,7,0
2,32,6,2,3,8,0,6,2,1,3,8,1
4,29,5,4,4,3,0,5,4,2,4,3,1
2,35,7,2,2,3,0,7,2,2,2,3,0
3,33,9,3,4,2,1,9,3,3,4,2,2
2,36,9,2,3,5,2,9,2,2,3,5,1
10,33,10,9,8,3,0,10,10,9,8,3,3
5,35,8,5,2,1,0,8,5,3,2,1,0
4,29,7,4,0,2,0,7,4,2,0,2,0
3,30,8,3,2,2,0,8,3,1,2,2,0
5,35,11,4,1,0,1,11,5,4,1,0,1
6,34,13,6,4,4,0,13,6,6,4,4,1
2,31,6,2,1,8,0,6,2,2,1,8,1
3,26,5,3,6,4,1,5,3,3,6,4,1
10,43,14,10,2,7,1,14,10,8,2,7,1
1,33,7,1,3,5,0,7,1,1,3,5,0
4,30,5,4,5,4,0,5,4,4,5,4,0
8,30,10,7,3,4,2,10,8,5,3,4,0
7,32,10,7,6,8,1,10,7,6,6,8,0
3,36,10,2,2,3,0,10,3,0,2,3,0
1,33,7,0,3,8,0,7,1,1,3,8,0
9,31,12,9,5,1,1,12,9,9,5,1,0
2,34,7,2,2,3,1,7,2,2,2,3,1
8,31,8,7,2,4,1,8,8,5,2,4,2
4,32,8,4,2,4,0,8,4,4,2,4,0
7,31,9,7,9,8,0,9,7,7,9,8,1
1,33,7,1,4,7,0,7,1,1,4,7,0
7,31,7,7,0,5,0,7,7,7,0,5,2
5,38,10,5,1,5,0,10,5,3,1,5,0
10,38,14,9,3,2,1,14,10,4,3,2,2
7,34,9,7,3,3,4,9,7,3,3,3,0
4,33,8,3,3,4,0,8,4,3,3,4,0
4,35,9,4,2,7,0,9,4,3,2,7,1
4,40,11,3,7,9,0,11,4,1,7,9,0
3,33,8,3,3,8,0,8,3,2,3,8,0
5,32,10,5,3,1,0,10,5,5,3,1,0
0,33,7,0,0,7,0,7,0,0,0,7,0
7,31,6,7,2,5,0,6,7,5,2,5,2
4,38,13,4,1,2,1,13,4,4,1,2,2
5,34,13,4,1,1,2,13,5,5,1,1,1
13,42,18,10,0,1,0,18,13,9,0,1,3
